单词,词构解释,词性1,意思1.1,中英解释1.1,词组1.1.1,例句1.1.1,词组1.1.2,例句1.1.2,词组1.1.3,例句1.1.3,词组1.1.4,例句1.1.4,意思1.2,中英解释1.2,词组1.2.1,例句1.2.1,词组1.2.2,例句1.2.2,词组1.2.3,例句1.2.3,词组1.2.4,例句1.2.4,意思1.3,中英解释1.3,词组1.3.1,例句1.3.1,词组1.3.2,例句1.3.2,词组1.3.3,例句1.3.3,词组1.3.4,例句1.3.4,意思1.4,中英解释1.4,词组1.4.1,例句1.4.1,词组1.4.2,例句1.4.2,词组1.4.3,例句1.4.3,词组1.4.4,例句1.4.4,意思1.5,中英解释1.5,词组1.5.1,例句1.5.1,词组1.5.2,例句1.5.2,词组1.5.3,例句1.5.3,词组1.5.4,例句1.5.4,词性2,意思2.1,中英解释2.1,词组2.1.1,例句2.1.1,词组2.1.2,例句2.1.2,词组2.1.3,例句2.1.3,词组2.1.4,例句2.1.4,意思2.2,中英解释2.2,词组2.2.1,例句2.2.1,词组2.2.2,例句2.2.2,词组2.2.3,例句2.2.3,词组2.2.4,例句2.2.4,意思2.3,中英解释2.3,词组2.3.1,例句2.3.1,词组2.3.2,例句2.3.2,词组2.3.3,例句2.3.3,词组2.3.4,例句2.3.4,意思2.4,中英解释2.4,词组2.4.1,例句2.4.1,词组2.4.2,例句2.4.2,词组2.4.3,例句2.4.3,词组2.4.4,例句2.4.4,意思2.5,中英解释2.5,词组2.5.1,例句2.5.1,词组2.5.2,例句2.5.2,词组2.5.3,例句2.5.3,词组2.5.4,例句2.5.4,词性3,意思3.1,中英解释3.1,词组3.1.1,例句3.1.1,词组3.1.2,例句3.1.2,词组3.1.3,例句3.1.3,词组3.1.4,例句3.1.4,意思3.2,中英解释3.2,词组3.2.1,例句3.2.1,词组3.2.2,例句3.2.2,词组3.2.3,例句3.2.3,词组3.2.4,例句3.2.4,意思3.3,中英解释3.3,词组3.3.1,例句3.3.1,词组3.3.2,例句3.3.2,词组3.3.3,例句3.3.3,词组3.3.4,例句3.3.4,意思3.4,中英解释3.4,词组3.4.1,例句3.4.1,词组3.4.2,例句3.4.2,词组3.4.3,例句3.4.3,词组3.4.4,例句3.4.4,意思3.5,中英解释3.5,词组3.5.1,例句3.5.1,词组3.5.2,例句3.5.2,词组3.5.3,例句3.5.3,词组3.5.4,例句3.5.4,词型变化,单词比较,共性,差异
apply ,,vt, 涂；敷   将乳液等,‘用’于皮肤,,Apply the cream evenly to your face and neck. 将乳霜均匀地涂抹于面部和颈部。,,,,,,,手压; 脚踩:,手脚等“用”于某物上,apply the brakes 踩刹车,,,He slowed the bleeding by applying pressure to the wound. 他按住伤口以减缓流血。,,,,,努力; 使专注于,将精力等“用”于某事,,"Recently, he has applied himself to his studies. 近来，他专心学习。",,,,,,,使用; 运用; 应用,to use sth or make sth work in a particular situation: =将抽象事物等‘用’于某领域,,We had to write a paper on how we plan to apply what we would learn in class to our future professions and to our lives. 我们必须写一篇论文，论述我们计划如何将我们课堂上所学到的(知识 ) 运用到将来的工作和生活中去,,The new technology was applied to farming. 这项新技术被应用于农业。,,,,,,,,,,,,,,,vi, 申请," to make a formal request, usually in writing: = 将才能等“用”于工作、任务等",apply for sth:；apply for a job / passport / visa 申请工作/护照/签证 ,I am writing to apply for the post of volunteer for our school English association. 我写信申请我们学校英语协会志愿者这个职位。,"apply to sb / sth (for sth):                              
     ", After-school activities also play a part when students apply to college. 学生申请大学时，课外活动也起到了一定的作用。                               ,apply to do sth:,He applied to study composition with the well-known musician. 他申请跟这位著名音乐家学习作曲。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vi & vt,[不用于进行时] ( 对…… ) 适用; (对…… ) 有效,将抽象事物“用”于某人或某情景,,"If the constitution said that all people were free and equal, then she thought it should apply to her. 如果宪法称人人自由且平等，那么她认为这也应适用于自己。  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application ,,n, [C] & [U] 申请; 申请书; 申请表:,,a job application 求职申请,,make / submit / put in an application 提交申请,,fill in / out an application (form) 填写申请 (表),,accept / reject sb’s application 接受 / 拒绝某人的申请,,应用；运用; [ 缩略为app ] 应用程序,,make practical application of new technology to teaching 把新技术运用到教学实践中,,,This is a new invention that will have a wide range of applications in industry. 这是一项可在工业上广泛应用的新发明。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app ,,n ,[C] [ application的缩写 ] 应用程序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule,,n,[C] & [U]日程安排时刻表,a plan of things that will happen or of work that must be done(timetable) ;,,Students have to learn to organise their busy schedules. 学生们必须学会安排他们繁忙的日程。,a class / train schedule 课程表/列车时刻表,"The majority of holiday flights depart and arrive on schedule. 大部分假日航班都能按时起降； Thanks to your help, we accomplished the task ahead of schedule. 多亏你们的帮助，我们提前完成了任务。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt ,| 常用于被动语态 ] 安排; 将……列入进度表,to plan that sth will happen at a particular time;,,"As scheduled, we have English Talent Show today. 依照计划，我们今天会有英语才艺表演",schedule sth (for sth):,The summer sale is scheduled for tomorrow.夏季大减价定于明日举行,schedule sb / sth to do sth:,The trip is scheduled to start on December 21 in New York City. 旅程定于 12 月 21 日从纽约市出发。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
award,,vt,授予; 给予，判给:,,award sb sth / award sth to sb:,"A Nobel Prize was awarded to Tu Youyou in 2015. 2015 年的一项诺贝尔奖颁给了属哆哆。； They awarded John the first prize. / They awarded the first prize to John. 他们授予约翰一等奖。；The court awarded damages of $5,000 to the injured man. 法庭判给伤者 $ 000 美元的赔偿人金。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n, [C] 奖; 奖金; 奖品; 奖状:,,win / get / gain / obtain / receive an award 获奖,," an award of $10,000 10 000美元的奖金 ",,“Lifetime Achievement” award 终身成就奖 ；present awards 颁奖,,,The award for this year s best actress went to Emma Stone. 本年度最佳女演员奖的获得者是艾玛. 斯通。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predict ,,vt ,预言; 预计 (forecast):,,,predict tomorrow’s weather 预告明天的天气,predict + (that) / wh- 从句:,Population experts predict that most people will live in cities in the near future. 人口专家预言，在不久的将来大多数人都会住在城市里。,,It’s hard to predict when driverless cars will be everywhere on our roads. 很难预料我们的公路上何时才会出现大量的无人驾驶汽车。, it is predicted + that 从句:,It was predicted that inflation would continue to increase. 据预测，通货膨胀率将继续上升。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predictable,,adj ,可预见的; 可预料的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction,, n ,[Cl & [U] 预言；预测,,,It’s difficult to make accurate predictions about the effects on the environment. 很难准确预测对环境产生的影响。                                                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opportunity ,,n,[C] & [U] 机会; 时机 (chance):,,,Orientation Day is a fantastic opportunity for new students to get to know the school and the other students。迎新日是新生熟悉学校和认识其他同学的好机会,(a) rare / golden / perfect opportunity 难得的/绝佳的/ 理想的机会；take / seize / use / provide / miss an opportunity (to do sth) 把握/抓住/利用/提供/错失(做某事的）机会,May I take this opportunity to thank you for all your hard work.我要借此机会对你们的辛勤工作表示感谢。,,"To learn English well, we should find opportunities to hear English spoken as much as we can. 为了学好英语，我们应该找机会尽量多听英语。   ",,There'll be plenty of opportunity for relaxing / to relax once the work is done. 工作一旦完成，就有很多放松的机会。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint,,n ,[C] 暗示; 提示; 有益的建议 (tip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subscribe ,, vi    ,订阅（报纸、杂志等）,,subscribe to Time 订阅《时代》周刊  ,,,,,,,, 定期交纳 (会费); 定期捐款:  ,,subscribe to a charity  向慈善机构定期捐款   ,,,,,,,,认购（股票）,,,,,,,,,,,,subscribe to [ 正式用语 ] 同意; 赞成:,All scientists subscribe to the view that the increase in the Earth’s temperature is due to the burning of fossil fuels. 所有的科学家都赞成这种观点: 地球上气温的升高是由燃烧矿物燃引起的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
view,,n, [U ]视野; 视线,看见 ‘的范围                                         i,,There was usually nobody in view except some sheep in the grassland. 在草原上经常看不到一个人，只能看到一些羊。      ,,The lake came into view as we turned the corner. 转过弯，我们就看见那个湖了。,,Sit down — you're blocking my view. 坐下，你挡住我的视线了。,,,[C] 风景；景色,what you can see from a particular place: =’看见‘的事物,,"While climbing the mountain, we enjoyed the warm sunshine and a beautiful view.爬山时，我们沐浴着温暖的阳光，欣赏着美丽的风景。                                                    ",,I’d like a room with a sea view. 我想要一间海景房。  ,,,,,[C] 观点; 看法 ,an opinion or idea about sth (opinion): =‘看’事情的角度  ,,Each person may believe that he is correct and that the other person's view is wrong. 每个人都可能会认为自己是对的，而对方的观点是错的。,,Jill and I have different views on / about the subject. 吉尔和我在这个话题上的观点不同。 ,my world view 我的世界观,"Your view of life is different from mine. 你的人生观跟我的不同。
",,"Can‘t you see things from my point of view? 你就不能从我的角度看待事物吗?    ；In my view, playing computer games is a waste of time. 在我看来，玩电脑游戏就是浪费时间。 ",IC) ( 一次) 观看; 一睹; 一览 , (viewing): > =’看见‘的次数,,"The article posted on 10 July got 1,231 views. 7 月 10 日发布的这篇文章获得了1 231人次的阅读量。",in view of 鉴于; 考虑到:,"In view of the weather, the event will be held indoors. 由于天气的缘故，这项比赛将在室内进行。",on view 在展出; 展览着:,The painting is currently on view at the gallery. 那幅画目前在美术馆展出。,,,,,,,,,,,,,vt ,[正式用语 ] 看; 观看; 观赏:,,,These mountains are a splendid sight when viewed from the valley floor. 从谷底看上去，群山壮丽。,,,,,,,看待 (see):  ,,,"We view film as a type of contemporary art. 我们把电影视作一种当代艺术。                                 术
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viewer,,n,[C] ( 电视 ) 观众; 观察者; 观看者; 看片器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
former ,,adj,[只用于名词前 ] 以前的; 从前的; 前任的:,,,He is my former colleague. 他是我以前的同事。,,,,,,, ( 两者中 ) 前面的:   ,,in the former case 在前一种情况下,,,Fish prefer shallow water to deep water because the former is warmer. 鱼喜欢浅水甚于深水，因为前者更暖和。 ,the former ... the latter 前者……后者                                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formerly ,,adv,以前; 从前 (previously),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graduate  , gradu (step 步、级）+ -ate (名词后缀)  ,n ,[C] 学位获得者; 毕业生:    ,,a graduate school 研究生院,,a graduate in medicine / a medicine graduate 医学专业毕业生,He’s a graduate of Harvard. 他是哈佛大学的毕业生。   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vi,获得学位; 毕业:  ,,, Lisa graduated from our school last June and is about to go to college in New York. 莉萨今年六月从我校毕业，即将前往纽约上大学。,,He graduated in physics from Cambridge University他是剑桥大学物理学专业毕业的。,,,,,逐渐升级为:,,,I quickly graduated from typical children’s books to ones with fewer pictures and longer chapters.我很快就从读典型的儿童读物升级为读插图少、章节多的书,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt,使……毕业; 授予……学位:,,,The college graduated 500 students last year. 去年有 500 名学生从这所学院毕业。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graduation,graduate + -ion (名词后缀),n ,[U] 毕业:,,a graduation certificate 毕业证书,,," A year after graduation, I was offered a position teaching a writing class. 毕业一年后，我得到了一份教写作的工作。",,,,,[U] & [C] 毕业典礼:,,attend the graduation 出席毕业典礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orientation ,,n ,[U] ( 任职等前的 ) 培训; 训练; 迎新,,Orientation Day 迎新日    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frightened ,frighten + -ed (形容词,adj ,受惊的; 害怕的 ,afraid; feeling fear;  ,,Frightened children were crying for their mothers. 受到惊吓的孩子们器喊着找妈妈。 ,,Don‘t be frightened. We're not going to hurt you. 别害怕，我们不会伤害你。,be frightened of (doing) sth:,Are you frightened of thunder? 你害怕打雷吗?；,,I'm frightened of walking home alone at midnight. 我害怕深更半夜独自走回家。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frightening ,frighten + -ing (形容词后缀),adj ,令人害怕的; 吓人的,,a frightening experience / thought 可怕的经历 | 念头     ,,,Going into hospital can be very frightening for a child. 对孩子来说上医院可能很可怕。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 frighten,fright (惊吓) +  -en (te Make),vt & vi ,(使 ) 惊恐; (使 ) 惊吓(scare):,,,"
Don’t shout or you'll frighten the baby. 别那么大声，你会吓着孩子的。                                     ",,She doesn’t frighten easily. 她不是轻易就能吓到的。,frighten away / off 把……吓跑:,The children’s shouts frightened off the birds. 孩子们的叫喊声把鸟儿吓飞了。, frighten sb to death / frighten the life out of sb 把某人吓得要命:,Spiders frightened her to death. / Spiders frightened the life out of her. 蜘蛛把她吓得要死。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sight,,n,[u]看见；瞥见 ,the act of seeing sb/sth  ‘看见’的行为,,Just the sight of the monster made her go all weak. 她一看到那个怪物就两腿发软。,,,,,,,[U] 视力; 视觉:  ‘看见’的能力,,have good / poor sight 视力的好/差,"When Shaw lost his sight, his wife suggested he apply for a guide dog. 肖失明后，他的妻子建议他申请一只导育犬。                                        ",,I glanced around me quickly. There was no one in sight. 我迅速向四周扫了一眼，一个人也没看见。,,She never lets her daughter out of her sight. 地从不让女儿离开她的视线。,,, [C] 看见的事物; 景象；情景,the thing that you can see:  “看见”的事物,,"The practice of hanging flags is a common sight in many Parts of the country on the National Day.
国庆节期间全国各地都悬挂国旗是常见的景象。",,,,,,,[复数 ] 名胜; 景点,"the interesting places, especially in a town or city:   “看见”的名胜古迹",,Overseas visitors are impressed by the beautiful sights of Beijing. 北京美丽的景点给海外游客留下深刻的印象。,at first sight 一见 ( 就 ) ; 乍一看:,,fall in love with sb at first sight 与某人一见钟情,,,"
At first sight, there is nothing special about the watch, but in fact it is a mobile Phone. 乍一看，那块表没什么特别之处，但实际上它是一部手机。",,,at the sight of 一看见……就:,"I was frightened at the sight of the test paper. 我看到试卷的时候好害怕。
",catch sight of 看见; 发现,"Suddenly, I caught sight of my English teacher in the crowd. 突然, 我在人和群中看到了我的英语老师。","come into sight 进入视线; 映入有眼帘:
","As the plane came down through the clouds, green fields and white houses came into sight. 当飞机穿过云层下降时，绿色的田野和白色的房屋映入了眼帘。",lose sight of 看不见; 忽略; 忘记: ,I lost sight of him in the crowd. 他消失在人群中，我看不见他了。,,,,,"His grandfather, a banker, lost all in the 1930s, but did not lose sight of what he valued most. 他的祖父是个银行家，在 20 世纪 30 年代失去了一切，但并未忘记他最看重的东西。",set one’s sights on 以……为奋斗目标: ,The player said that he had set his sights on winning the championship in the coming Olympics. 那位选手说，他的目标是在即将到来的奥运会上夺冠  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sighting ,,n,[C] 看见/ 目睹 ( 不寻常或短暂出现的事物 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sightseeing ,sight + see + -ing (名词后缀),n,(U] 观光; 游览: ,,go sightseeing 去观光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
figure,,n,{C][常用复数 ] 数字; 位数; 算术:    ,数字的’形状‘ ,the latest trade figures 最新的贸易数据                                                                                 ,,have a head for figures 有算术头脑                                                                            ,,,"He got a job, earning close to six figures. 他找到一份工作，收入接近六位数。 ",,,( 尤指女性的 ) 体形/身材/身影:    人的身体“形状“    ,,a tall figure in black   一个黑衣高个子人影   ,Many women want a slim figure these days. 如今，许多女性都想拥有苗条的身材。       ,,,,,,, 人物；人士, a person who is important or famous: —> 人的抽象的’形状‘,a public /a leading / an authority figure 公众/领军/权威人物,,,,,,,,画像；雕塑  雕刻,画出的’形状‘,a bronze figure of a horse 马的铜像,,,,,,,,图表；图形, 几何图形的“形状,,See Figure 1.   见图表1。,,A triangle is a three-sided figure. 三角形是有三条边的几何图形。                                                ,,,,,vi ,是重要部分; 是……的部分, to be an important part of sth: ,,My feeling about the matter didnt seem to figure at all. 我对此事的感受似乎一点儿也不重要。,,My wishes didn t figure among his considerations. 我的愿望不在他的考虑之中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt , [ 非正式用语 ] 认为; 估计,to think or guess sth:,,Figure the consequences to your life if you lose the job. 想象一下，如果你失去工作会对你的生活有什么影响。,,"From the way he behaved, | figured (that) he was drunk. 从他的举止来看，我认为他喝醉了。       ;",,,,,(AmE) 计算:   ,,,I'm just figuring my expenses. 我在计算我的开销。,figure out ;    弄清楚；弄明白;计算出,I couldn ’t figure out what I had done to annoy my boss. 我不明白自己做了什么让老板生气。,,Have you figured out how much tpetripwillcost2旅行要花多少费用你算出来没有?,,"College is when we should focus on a specific major, but high school is when we have to figure it  i some time to figure    it  out. 在大学时我们需要专注于某一专业，而在中学时我们需要找出这一专业。；",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go all out ,,,全力以赴; 竭尽全力:,,,We're going all out for victory in this dfiernoons game. 我们将在今天下午的比赛中全力以赴，争取获胜。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select ,se-（apart 分开）+lect（to collect 收集）,vt , (经过认真思考而 ) 挑选，精选 ," to choose sb / sth, usually carefully, from a number of similar things:   ",,He selected a mobile phone for personal use. 他挑了一部手机自用。, select sb / sth for sth:,"As a member of the school volleyball team, I wasn t selected for the end-of-year competition. 我是学校排球队的一员，可年终赛却没有选我参加。",select sb / sth as sth:,"In 2019, Tu Youyou was selected by the BBC as one of the most influential figures of science in the 20th century. 2019 年，属哟哆被英国广播公司评选为 20 世纪最具影响力的科学人物之一。 ", select sb / sth to do sth,He’s the only student in the class that has been selected to take part in the Model United Nations conference. 他是班上唯一被选上参加模拟联合国大会的学生。   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, adj,[ 正式用语 ] 挑选出的; 精选的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select、choose、pick,三者都有‘选择’之意,select 指‘精选’，是从同类的许多事物或人中仔细辨别后选出最适合的 please select a few nice strawberries for your sister .请给你妹妹精选挑选一些好的草莓。 choose 泛指选择，可不带宾语 we offer a wide range of holidays to choose from 。我们有各种旅游度假方式可供选择。 you choose ——i can't decide. 你来选，我决定不了 pick 表示随意挑选，通常所指的事物不会很重大，是不太正式的用词 she picked a piece of cake for herself. 她为自己挑来一块蛋糕。  
selective ,,adj,慎重选择的; 精挑细选的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selection, select + -ion（名词后缀）,n ,[U] & [C] 可选之人或物; 选集:,,make a selection 做出选择,,natural selection 自然选择; 物竟天择,,,Selections From Charles Dickens 《狄更斯选集》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
particular ,,adj  ,[只用于名词前 ] 特定的," used to emphasize that you are talking about one person, thing, time, etc. and not about others (specific) : ",,He did not show up on that particular day. 他并没有在那一天露面。,,The giant panda eats only one particular type of bamboo. 大熊猫只吃某一种竹子。,,,,,特别的; 格外的:,,,I have nothing particular to do this evening. 今晚我没有什么特别的事要做。,,We must pay particular attention to this point. 我们必须要特别注意这一点,,,,,讲究的; 挑剔的:,,,a particular customer 挑剔的顾客 ,,She is very particular about / over her appearance. 她很在意自己的外表。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in particular ,,,尤其；特别  ,,,Parents and coaches in particular should act as better examples for children. 父母和教练尤其要给孩子们树立更好的榜样。   ,,Are you doing anything in particular this weekend? 这个周 未你有 什么特别的安排吗?  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
particularly ,particular + -ly（副词后缀）                   ,adv ,特别; 尤其 (especially):,,,"The dictionary is particularly useful for beginners. 这本词典对初学者特别有用。
",,"The micro blog has exploded in popularity in recent years, particularly among young people. 近年来微博大受欢迎，尤其是在年轻人当中。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainbow ,ain +bow (弓)     ,n, [C] 彩虹,,,Be a rainbow in somebody else's cloud. 成为别人云采里的一道彩虹。 一一马姬. 安林卢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neat,,adj, ( 场所 ) 整洁的; 整齐的:,,,He always keeps his desk neat. 他总是保持桌面整洁。,,I arranged all the books in a neat row. 我把所有的书整整齐齐地排好。 ,a very neat woman 装束十  分整洁的女人,,,, [ 非正式用语 ] （AmE）好的; 极好的; 令人愉快的:,,,We had a great time yesterday — it was pretty neat. 我们昨天玩得很愉快，棒极了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
